distance, drive speed, angle, turn rate, x, y
12.875, 0, -0.3605, 103, -76.79647175469509, -76.95462512659923
12.75, 0, -1.1781, 102, -67.63689995323158, -85.82393989234266
12.75, 0, -1.01, 102, -61.78604295785654, -97.1522218635716
12.875, 0, -0.42745, 103, -52.09572785421089, -105.6294512571917
12.75, 0, 0.102, 102, -39.51416202995318, -107.6950507851425
12.875, 0, 0.6488999999999999, 104, -27.53599970222981, -102.9739013222777
12.75, 0, 0.7803, 103, -17.90521799824161, -94.6186309035464
12.75, 0, 0.3875999999999999, 102, -7.268002195002063, -87.58925397843342
12.75, 0, -0.153, 102, 5.394382860351216, -86.09710629473522
13.25, 0, -2.3373, 106, 9.633338908450256, -98.65074129111314
12.75, 0, -3.9627, 102, -3.116210487059355, -98.54354888718198
13.25, 0, -4.4202, 106, -9.710666373277384, -87.05113175392738
12.75, 0, -4.5492, 102, -12.58868249453287, -74.63020090290844
12.75, 0, -4.6359, 102, -14.11297488146464, -61.97164519069776
13.0, 0, -5.1376, 104, -11.8577494265153, -49.16875652651933
12.75, 0, -5.4519, 102, -4.845283695638442, -38.52038461465986
13.25, 0, -5.883, 107, 5.971340347530885, -30.86772858497113
12.875, 0, -5.71135, 104, 17.35546020445564, -24.85379143172687
12.75, 0, -4.156499999999999, 102, 20.15699682856781, -12.41538749296696
13.0, 0, -3.12605, 104, 8.746444313446581, -6.186479779759088
12.75, 0, -5.2989, 102, 2.634731207615091, 5.003223652951165
13.25, 0, -6.4554, 106, 14.80742636592677, 10.23657750901855
12.75, 0, -4.6971, 103, 24.50196513320401, 18.51778624263701
12.75, 0, -3.9015, 102, 19.38360016086297, 30.19532194200065
13.0, 0, -4.763199999999999, 105, 14.56116346599607, 42.26777423322969
12.75, 0, -5.4213, 102, 19.28875381169718, 54.10890549351194
12.875, 0, -3.8831, 103, 18.5142884979287, 66.96059131591554
12.875, 0, 0.408, 103, 16.37727111088382, 54.26418309597129
13.0, 0, -0.26, 104, 29.34169335064793, 55.225305350999
12.75, 0, -4.284, 103, 21.11618588578103, 45.48346122653166
13.0, 0, -4.685199999999999, 104, 18.18047164269634, 58.14764623319316
12.75, 0, -4.9113, 102, 19.27385506177912, 70.85067786736911
12.75, 0, -5.2326, 103, 23.76011288900756, 82.78533289831287
13.25, 0, -5.61225, 106, 32.39727228515537, 92.83331665454654
12.75, 0, -5.1357, 102, 40.23047733463366, 102.8933066472268
13.5, 0, -2.9916, 109, 32.07401969281689, 113.6507319310598
12.625, 0, 0.202, 101, 34.28452034352253, 101.2207555886354
12.75, 0, -0.459, 102, 46.92939951772071, 99.58688574377966
12.75, 0, -3.9627, 102, 39.31460875042898, 89.36057352625136
13.25, 0, -4.982, 106, 36.16454726621743, 102.2306789122102
12.75, 0, -5.1204, 102, 40.40221299967444, 114.255847897779
13.25, 0, -4.4414, 106, 41.30927403304044, 127.4747639003016
12.75, 0, 0.255, 103, 34.94747469267444, 116.4253291114575
13.0, 0, 0.9827999999999999, 105, 45.53619702925404, 123.9671431690182
12.625, 0, -1.5655, 101, 57.62914123670067, 120.340667552723
13.125, 0, -4.740749999999999, 105, 44.50501400680532, 120.492026244313
12.75, 0, -4.824599999999999, 102, 45.40042309303774, 133.2105459132168
12.75, 0, -4.8297, 102, 46.8604164544948, 145.8766786846866
13.125, 0, -4.5255, 105, 46.40390318424231, 158.993737068108
12.75, 0, -2.3256, 102, 34.1644861041263, 162.5657350438863
12.75, 0, -1.2189, 102, 31.61328993857305, 150.0735815816178
12.75, 0, -2.5194, 102, 27.86546555056791, 137.8868546889418
12.75, 0, -4.5237, 103, 16.02478973884658, 142.61558563093
12.75, 0, -4.799099999999999, 103, 15.3749619030188, 155.3490150112574
12.75, 0, -3.0447, 103, 6.3135706390888, 164.3186130157375
12.875, 0, -1.9673, 103, -4.047199442342754, 156.6753108288739
13.125, 0, -3.35475, 106, -15.68556546411947, 150.6078516124347
13.375, 0, -5.5319, 108, -19.24103116807688, 163.5016209848092
12.75, 0, -5.7732, 102, -8.943454686523932, 171.0197602896217
13.0, 0, 0.104, 104, -21.33566151333979, 167.0912478534166
12.75, 0, 2.2491, 102, -16.43822788032432, 178.8631484565566
13.625, 0, -1.1445, 109, -4.83899168723047, 186.0114590777329
12.75, 0, -4.4982, 102, -16.94076969499068, 181.9977987718661
12.75, 0, -4.8195, 102, -17.62306562779708, 194.729529693468
13.0, 0, -3.718, 104, -23.20304277307293, 206.4710736744868
12.75, 0, 0.255, 102, -25.24320664244659, 193.8853583040321
13.25, 0, 2.6712, 106, -23.81898717703038, 207.0585924898472
12.75, 0, 1.3005, 103, -28.96028502667319, 218.7260496430258
13.0, 0, -1.248, 104, -15.9647636757419, 219.0672604539464
13.125, 0, -3.85875, 105, -26.88385787747125, 211.7844720584374
12.75, 0, -2.641799999999999, 102, -39.55863140903332, 213.1674456386672
13.0, 0, 0.52, 105, -33.21350347652334, 201.8211091585481
12.75, 0, 1.3923, 102, -25.86096588113905, 212.2375716534866
12.875, 0, 1.14845, 103, -22.05096125665106, 224.5359247855681
13.75, 0, 0.473, 110, -12.57758053232251, 234.5017442527229
12.875, 0, -0.412, 104, 0.291431447520397, 234.8943708726301
12.75, 0, -1.1781, 103, 9.21960711533491, 225.7921634895474
12.75, 0, -0.4845, 102, 17.81203457627085, 216.37236039561
12.625, 0, 0.404, 102, 30.42680931231532, 215.864341341977
12.875, 0, 0.3213, 103, 42.46441946535493, 220.4317877624003
12.75, 0, -0.153, 103, 55.16930330447742, 221.5034344553006
12.75, 0, -0.6425999999999999, 103, 66.92372573437909, 216.5641983464043
12.75, 0, -0.7726500000000001, 102, 76.6125507061707, 208.2763053291178
12.75, 0, 0.153, 103, 88.7554841983644, 204.3889326682887
12.875, 0, 0.8651999999999999, 103, 99.99772193657121, 210.66409925075
12.75, 0, 0.7904999999999999, 102, 108.6225965180795, 220.0542024692057
13.0, 0, -0.572, 104, 121.5450924956976, 221.4716289076656
12.75, 0, -1.1781, 102, 129.7173131180816, 211.6850406308921
12.625, 0, -1.6463, 102, 131.7112084766868, 199.2184851202896
12.75, 0, -1.632, 102, 130.8403776326966, 186.4982589571604
13.25, 0, 0.848, 107, 143.08532317944, 181.436262458022
12.75, 0, 1.8207, 102, 146.0720019461331, 193.8315135625614
12.75, 0, 1.6932, 103, 143.7122268706351, 206.361236687717
13.75, 0, 1.331, 110, 144.5188380138096, 220.0875573332398
12.75, 0, -0.102, 102, 154.9363762704887, 227.438570642344
13.0, 0, -1.092, 104, 165.6877120056481, 220.1304395604678
12.75, 0, -1.4433, 103, 169.4938998876506, 207.9618145844527
12.75, 0, -1.6167, 102, 170.0139087809808, 195.2224232822414
13.0, 0, -1.7212, 104, 168.7399589001792, 182.2849949558233
12.75, 0, 0.816, 102, 180.2062015592196, 176.709353352922
12.875, 0, 2.3562, 103, 180.0091744576178, 189.5828457043096
12.875, 0, 2.1471, 103, 171.9049208895136, 199.5871797203183
13.375, 0, 1.4552, 107, 168.8511158918475, 212.6088885189449
12.75, 0, -0.612, 102, 180.4846666695278, 217.8264546472402
13.125, 0, -3.3075, 106, 175.5073982625888, 205.6818087402865
12.75, 0, -1.6524, 102, 165.4478519115764, 197.8480339661541
13.25, 0, 0.848, 106, 177.6405290127844, 192.6614045109415
12.875, 0, 1.83855, 103, 180.5446581080661, 205.2045962577793
13.25, 0, 0.7579000000000001, 107, 184.1116736760431, 217.9654308675456
12.75, 0, -0.255, 102, 196.4607201870051, 221.1377407940973
13.25, 0, -1.323, 106, 205.7960781357132, 211.7348905895321
12.75, 0, -1.0251, 103, 210.7229261851084, 199.975270344891
12.75, 0, 0.153, 102, 222.2798712198345, 194.5901499688622
13.0, 0, 0.8736000000000001, 104, 233.6045452761852, 200.9738602941681
12.75, 0, 0.255, 102, 244.3778258790671, 207.7928723231624
13.25, 0, -0.212, 106, 257.6247635907817, 208.0777253764249
12.875, 0, -0.10815, 103, 270.3351609868514, 206.0255501806909
12.75, 0, 0.102, 103, 283.0851007072896, 205.9863439924774
12.75, 0, 0.4284, 102, 295.3893619787986, 209.3281480804579
12.75, 0, 0.6629999999999999, 102, 306.2876053839667, 215.945609125429
12.75, 0, -0.051, 102, 318.4453192110857, 219.7865067415965
13.875, 0, -1.28205, 111, 329.3507203280854, 211.2081705697424
13.125, 0, -0.8295, 106, 335.8154838274905, 199.7857164596678
12.75, 0, 0.0, 102, 347.4845017170701, 194.6479619411383
12.75, 0, 0.1071, 102, 360.2162251192604, 195.3303981726802
13.125, 0, 0.4462499999999999, 105, 372.8420683311445, 198.9156050270919
12.75, 0, 0.4539, 102, 384.3223529180601, 204.4622766239533
12.875, 0, 0.5871, 104, 395.4923247940093, 210.8651941847614
13.0, 0, 1.4924, 104, 402.0759907460928, 222.0748035727542
13.25, 0, 2.9256, 107, 394.1822548501572, 232.7167692560863
12.75, 0, 2.6214, 102, 382.2863088164238, 237.3046846827811
12.875, 0, 1.6789, 103, 375.237462691863, 248.0786994086047
12.75, 0, 1.4025, 103, 375.6211329316701, 260.8229254403057
12.75, 0, 2.1981, 103, 372.7205813875582, 273.2386131272585
13.125, 0, 3.22875, 105, 360.780400402619, 278.6881730220478
12.75, 0, 3.1518, 102, 348.0455059831315, 278.0677182497184
13.0, 0, 3.6608, 104, 335.4983075760174, 274.6665696007303
12.875, 0, 4.51655, 103, 327.9786139364417, 264.2157403242123
12.875, 0, 5.010949999999999, 103, 328.6395963676147, 251.3577184224701
13.125, 0, 5.1376, 105, 333.2863546393316, 239.0828146524103
13.25, 0, 3.6411, 106, 329.0801446380336, 226.5181699131038
12.875, 0, 1.7799, 103, 317.3830820988221, 231.8981655407764
13.25, 0, -0.159, 107, 326.5146168482961, 241.4990807637721
12.75, 0, 0.202, 102, 339.2616701180592, 241.7731846452133
13.25, 0, 2.1147, 106, 344.5729552788523, 253.9120787439662
12.875, 0, 3.55865, 103, 332.291857432344, 257.7773420835705
14.0, 0, 4.284, 112, 322.3364329630483, 247.9340944672527
12.875, 0, 3.5741, 104, 313.2511992453164, 238.811367172513
12.75, 0, 3.1518, 103, 300.8122949455738, 236.0120530026054
12.75, 0, 3.1671, 103, 288.0643277822855, 235.7843839363603
13.5, 0, 4.2714, 108, 276.7547813020594, 228.4125348866575
12.875, 0, 4.44445, 103, 272.2860269274624, 216.3379392686039
13.25, 0, 3.1429, 107, 261.7546372063417, 208.2972719740397
13.0, 0, -0.312, 105, 263.7660266499472, 221.1407260462958
12.75, 0, -1.1781, 103, 273.1379651865649, 212.496116855253
12.75, 0, 0.357, 103, 284.8284586610949, 207.4074173826991
12.75, 0, 2.2491, 103, 288.2015825516299, 219.7031294490701
12.75, 0, 3.3201, 103, 276.2554445446473, 224.1587199506899
13.375, 0, 3.9804, 108, 264.5737305960685, 217.6450278929104
12.875, 0, 3.78525, 104, 255.0766536815444, 208.9518607439587
13.375, 0, 4.505, 107, 247.8899107511217, 197.6717299356737
13.375, 0, 4.3977, 108, 244.4380309222579, 184.7498434384519
13.375, 0, 4.00715, 107, 237.9090807048836, 173.0766504708424
12.75, 0, 3.8505, 103, 228.9100206821519, 164.044517903875
14.25, 0, 4.571400000000001, 115, 222.0602185931305, 151.5488101871734
12.875, 0, 4.442099999999999, 103, 219.4312373351182, 138.9450773057997
13.5, 0, 4.6332, 108, 217.0842475023572, 125.6506559673241
12.75, 0, 2.4786, 103, 205.4129565105972, 120.5180672846355
13.125, 0, -0.1575, 105, 210.6476688691954, 132.5539889993501
12.75, 0, 0.255, 102, 223.3825212835465, 133.1753053315821
13.125, 0, 3.19725, 106, 221.3520204703412, 146.142290002182
13.375, 0, 3.8627, 108, 208.9731521831811, 141.0772880348435
12.75, 0, 3.7434, 102, 198.9121543501842, 133.2453775013637
13.375, 0, 4.43515, 108, 191.1069491909027, 122.3840056993525
12.75, 0, 4.2993, 102, 186.7929740605632, 110.3860009246071
12.75, 0, 3.508799999999999, 102, 177.5729275176567, 101.5795690849437
13.375, 0, 3.3337, 107, 164.7175452492242, 97.88771701146201
12.625, 0, 3.4946, 102, 152.5585892855102, 94.48912688135435
12.875, 0, 4.223, 103, 142.8554198488983, 86.02661378627442
12.75, 0, 3.6822, 103, 134.0736217906472, 76.78310131189019
13.5, 0, 4.0176, 108, 123.8208561996167, 68.00068719415575
12.75, 0, 4.1208, 104, 116.17404028198, 57.79829990873189
12.75, 0, 4.6716, 103, 112.2094694717281, 45.68035130797861
13.375, 0, 5.275099999999999, 107, 115.6603418898897, 32.75819573881866
13.625, 0, 5.94, 109, 126.2920628039104, 24.23721367063114
13.375, 0, 6.17925, 107, 139.3342165844736, 21.27193969270917
13.375, 0, 6.5912, 108, 152.6396460690369, 22.63435344459061
13.625, 0, 6.91605, 109, 164.7845496637316, 28.8102697066178
13.375, 0, 6.65005, 107, 176.5230839540368, 35.22099803617047
12.75, 0, 6.2985, 102, 189.0410065918389, 37.64259107258271
12.75, 0, 4.9623, 103, 199.1695438963411, 29.89822330811624
13.25, 0, -2.2575, 106, 202.0403461700408, 42.83348497169773
12.75, 0, -4.6053, 103, 189.8220345900249, 46.47702200782752
13.0, 0, -4.81, 105, 189.760428075617, 59.47687603152265
12.75, 0, -4.9317, 103, 191.7723614383999, 72.06713512908379
13.125, 0, -5.29725, 106, 196.9086837782801, 84.14537249307228
12.625, 0, -5.413600000000001, 102, 204.4789855584856, 94.24889445111333
12.75, 0, -5.0439, 103, 210.773901252439, 105.3365694285835
13.375, 0, 0.2675, 107, 201.0185494387118, 96.1865018883733
12.75, 0, 2.6775, 102, 202.2698103494761, 108.8749551484517
13.375, 0, 1.7655, 107, 194.1679517319033, 119.5168775284007
12.75, 0, 0.3111, 103, 200.6409432877699, 130.5015432182467
13.25, 0, -0.371, 107, 213.8850010904078, 130.1047650429575
12.875, 0, -0.54075, 103, 225.4451565839409, 124.4365704480854
12.75, 0, -0.2397, 102, 237.236656133115, 119.5865149451219
12.75, 0, 0.357, 103, 249.964733549908, 120.3338738094722
12.75, 0, 0.4284, 103, 261.7441931088337, 125.2130983892218
12.875, 0, 0.56135, 103, 273.0745546635241, 131.3277146519151
13.5, 0, 1.0494, 108, 282.4279064733602, 141.0624365237221
12.875, 0, 2.6883, 103, 278.6470307406344, 153.3697759475653
12.875, 0, 3.35265, 103, 265.8663501707476, 154.9253559585311
12.875, 0, 2.96125, 103, 252.9928684129791, 154.7276378956181
12.75, 0, 3.0549, 103, 240.3563465760361, 156.4249345298171
12.75, 0, 3.2844, 102, 227.6113647404588, 156.0672502964444
13.25, 0, 3.5457, 107, 214.8536955848638, 152.4889297802831
12.75, 0, 3.7536, 104, 203.7141325361836, 146.2862984769992
13.125, 0, 3.56475, 105, 192.3082722530391, 139.7923030811441
12.75, 0, 4.008599999999999, 103, 182.1203814673583, 132.1261840278655
13.5, 0, 5.070600000000001, 108, 179.7993202019909, 118.827211338127
12.875, 0, 5.11395, 103, 184.5735584016775, 106.8701099079035
12.875, 0, 4.702199999999999, 103, 187.0769670576373, 94.24083557794827
13.125, 0, 4.5084, 105, 185.6741091226602, 81.19102275882048
13.375, 0, 5.446300000000001, 107, 189.1766424183197, 68.28277401963063
